token	lemma	pos	onset	offset	entity	babelfy_id (iob)	link	TP	FP	FN	OCR
.	.	PUNCT	4779	4779							
(	(	PUNCT	4781	4781							
AngloJewish	AngloJewish	PROPN	4782	4792						1	
Preßagentur	Preßagentur	PROPN	4794	4804						1	
.	.	PUNCT	4805	4805							
)	)	PUNCT	4806	4806							
Luftkrieg	Luftkrieg	PROPN	4808	4816	Luftkrieg	B-bn:03136858n	https://babelnet.org/synset?word=bn:03136858n&lang=DE&langTrans=EN	1			
.	.	PUNCT	4817	4817							
Wien	Wien	PROPN	4819	4822	Wien	B-bn:00007269n	https://babelnet.org/synset?word=bn:00007269n&lang=DE&langTrans=EN	1			
,	,	PUNCT	4823	4823							
8	8	ADJ	4825	4825							
.	.	ADJ	4826	4826							
Sept.	September	NOUN	4828	4832							1
(	(	PUNCT	4834	4834							
W.	W.	PROPN	4835	4836							
K.-B.	K.-B.	PROPN	4838	4842							
)	)	PUNCT	4843	4843							
Aus	Aus	ADP	4845	4847							
dem	der	DET	4849	4851							
Kriegspressequartier	Kriegspressequartier	NOUN	4853	4872	Kriegspressequartier	B-bn:05141010n	https://babelnet.org/synset?word=bn:05141010n&lang=DE&langTrans=EN	1			
wird	werden	AUX	4874	4877							
gemeldet	melden	VERB	4879	4886							
:	:	PUNCT	4887	4887							
Am	Am	ADP	4889	4890							
7	7	ADJ	4892	4892							
.	.	ADJ	4893	4893							
September	September	NOUN	4895	4903	September	B-bn:00070537n	https://babelnet.org/synset?word=bn:00070537n&lang=DE&langTrans=EN	1			
vormittags	vormittags	ADV	4905	4914	vormittags	B-bn:00007205n	https://babelnet.org/synset?word=bn:00007205n&lang=DE&langTrans=EN		1	1	
versuchten	versuchen	ADJ	4916	4925	versuchten	B-bn:00082844v	https://babelnet.org/synset?word=bn:00082844v&lang=DE&langTrans=EN	1			
drei	drei	NUM	4927	4930							
feindliche	feindlich	ADJ	4932	4941	feindliche	B-bn:00104343a	https://babelnet.org/synset?word=bn:00104343a&lang=DE&langTrans=EN	1			
Flieger	Flieger	NOUN	4943	4949	Flieger	B-bn:00001688n	https://babelnet.org/synset?word=bn:00001688n&lang=DE&langTrans=EN		1	1	
,	,	PUNCT	4950	4950							
aus	aus	ADP	4952	4954							
dem	der	DET	4956	4958							
Gailtal	Gailtal	PROPN	4960	4966	Gailtal	B-bn:04066850n	https://babelnet.org/synset?word=bn:04066850n&lang=DE&langTrans=EN	1			
kommend	kommen	ADJ	4968	4974	kommend	B-bn:00082788v	https://babelnet.org/synset?word=bn:00082788v&lang=DE&langTrans=EN	1			
,	,	PUNCT	4975	4975							
Villach	Villach	NOUN	4977	4983	Villach	B-bn:00895784n	https://babelnet.org/synset?word=bn:00895784n&lang=DE&langTrans=EN	1			
anzugreifen	angreifen	VERB	4985	4995	anzugreifen	B-bn:00082838v	https://babelnet.org/synset?word=bn:00082838v&lang=DE&langTrans=EN	1			
.	.	PUNCT	4996	4996							
Die	der	DET	4998	5000							
Flugzeuge	Flugzeug	NOUN	5002	5010	Flugzeuge	B-bn:00001697n	https://babelnet.org/synset?word=bn:00001697n&lang=DE&langTrans=EN	1			
wurden	werden	AUX	5012	5017							
mit	mit	ADP	5019	5021							
heftigem	heftig	ADJ	5023	5030	heftigem	B-bn:00102943a	https://babelnet.org/synset?word=bn:00102943a&lang=DE&langTrans=EN	1			
Feuer	feuern	NOUN	5032	5036	Feuer	B-bn:00034623n	https://babelnet.org/synset?word=bn:00034623n&lang=DE&langTrans=EN		1	1	
empfangen	empfangen	VERB	5038	5046	empfangen	B-bn:00089891v	https://babelnet.org/synset?word=bn:00089891v&lang=DE&langTrans=EN	1			
.	.	PUNCT	5047	5047							
Unsere	mein	DET	5049	5054							
Abwehrflieger	Abwehrflieger	NOUN	5056	5068						1	
drängten	drängen	VERB	5070	5077	drängten	B-bn:00093679v	https://babelnet.org/synset?word=bn:00093679v&lang=DE&langTrans=EN	1			
den	der	DET	5079	5081							
Feind	Feind	NOUN	5083	5087	Feind	B-bn:00030814n	https://babelnet.org/synset?word=bn:00030814n&lang=DE&langTrans=EN	1			
von	von	ADP	5089	5091							
der	der	DET	5093	5095							
Stadt	Stadt	NOUN	5097	5101	Stadt	B-bn:03335997n	https://babelnet.org/synset?word=bn:03335997n&lang=DE&langTrans=EN	1			
ab	ab	PART	5103	5104							
und	und	CONJ	5106	5108							
zwangen	zwingen	VERB	5110	5116	zwangen	B-bn:00085252v	https://babelnet.org/synset?word=bn:00085252v&lang=DE&langTrans=EN	1			
ihn	ich	PRON	5118	5120							
zur	zur	ADP	5122	5124							
Rückkehr	Rückkehr	NOUN	5126	5133	Rückkehr	B-bn:00046318n	https://babelnet.org/synset?word=bn:00046318n&lang=DE&langTrans=EN		1	1	
.	.	PUNCT	5134	5134							
Der	der	DET	5136	5138							
Feind	Feind	NOUN	5140	5144	Feind	B-bn:00030814n	https://babelnet.org/synset?word=bn:00030814n&lang=DE&langTrans=EN	1			
vermochte	vermochte	VERB	5146	5154							
daher	daher	ADV	5156	5160	daher	B-bn:00115635r	https://babelnet.org/synset?word=bn:00115635r&lang=DE&langTrans=EN	1			
nur	nur	ADV	5162	5164							
einige	einig	DET	5166	5171							
Bomben	Bombe	NOUN	5173	5178	Bomben	B-bn:00011917n	https://babelnet.org/synset?word=bn:00011917n&lang=DE&langTrans=EN	1			
in	in	ADP	5180	5181							
aller	all	DET	5183	5187							
Hast	haben	NOUN	5189	5192							
abzuwerfen	abwerfen	VERB	5194	5203	abzuwerfen	B-bn:00094939v	https://babelnet.org/synset?word=bn:00094939v&lang=DE&langTrans=EN		1	1	
,	,	PUNCT	5204	5204							
von	von	ADP	5206	5208							
denen	der	PRON	5210	5214							
nur	nur	ADV	5216	5218							
zwei	zwei	NUM	5220	5223							
explodierten	explodieren	VERB	5225	5236	explodierten	B-bn:00083680v	https://babelnet.org/synset?word=bn:00083680v&lang=DE&langTrans=EN	1			
,	,	PUNCT	5237	5237							
ohne	ohne	ADP	5239	5242							
nennenswerten	nennenswert	ADJ	5244	5256							
Schaden	Schaden	NOUN	5258	5264	Schaden	B-bn:00025084n	https://babelnet.org/synset?word=bn:00025084n&lang=DE&langTrans=EN	1			
anzurichten	anrichten	VERB	5266	5276							
.	.	PUNCT	5277	5277							
London	London	PROPN	5279	5284						1	
,	,	PUNCT	5285	5285							
8	8	ADJ	5287	5287							
.	.	ADJ	5288	5288							
Sept.	September	NOUN	5290	5294						1	
(	(	PUNCT	5296	5296							
Havas	Havas	PROPN	5297	5301	Havas	B-bn:03224612n	https://babelnet.org/synset?word=bn:03224612n&lang=DE&langTrans=EN	1			
.	.	PUNCT	5302	5302							
)	)	PUNCT	5303	5303							
Amtliche	Amtliche	ADJ	5305	5312							
englische	englische	ADJ	5314	5322	englische	B-bn:00102248a	https://babelnet.org/synset?word=bn:00102248a&lang=DE&langTrans=EN	1			
Meldung	Meldung	NOUN	5324	5330	Meldung	B-bn:00021236n	https://babelnet.org/synset?word=bn:00021236n&lang=DE&langTrans=EN	1			
über	über	ADP	5332	5335							
das	der	DET	5337	5339							
Flugwesen	Flugwesen	NOUN	5341	5349	Flugwesen	B-bn:01016879n	https://babelnet.org/synset?word=bn:01016879n&lang=DE&langTrans=EN		1	1	
:	:	PUNCT	5350	5350							
Am	Am	ADP	5352	5353							
7	7	ADJ	5355	5355							
.	.	ADJ	5356	5356							
September	September	NOUN	5358	5366	September	B-bn:00070537n	https://babelnet.org/synset?word=bn:00070537n&lang=DE&langTrans=EN	1			
beschrankten	beschrankten	ADJ	5368	5379							
Wolken	Wolke	NOUN	5381	5386	Wolken	B-bn:00020002n	https://babelnet.org/synset?word=bn:00020002n&lang=DE&langTrans=EN	1			
und	und	CONJ	5388	5390							
Gewitter	gewittern	NOUN	5392	5399	Gewitter	B-bn:00030169n	https://babelnet.org/synset?word=bn:00030169n&lang=DE&langTrans=EN	1			
unsere	mein	DET	5401	5406							
Fliegertätigkeit	Fliegertätigkeit	NOUN	5408	5423						1	
.	.	PUNCT	5424	5424							
Nichtsdestoweniger	Nichtsdestoweniger	NOUN	5426	5443	Nichtsdestoweniger	B-bn:05580814n	https://babelnet.org/synset?word=bn:05580814n&lang=DE&langTrans=EN	1			
nahm	nehmen	VERB	5445	5448	nahm	B-bn:00088762v	https://babelnet.org/synset?word=bn:00088762v&lang=DE&langTrans=EN		1	1	
sie	ich	PRON	5450	5452							
viel	viel	ADV	5454	5457							
eg	eg	X	5459	5460							
--	--	PART	5461	5462							
ungsarbeit	ungsarbeit	ADJ	5463	5472							
vor	vor	PART	5474	5476							
,	,	PUNCT	5477	5477							
wie	wie	ADV	5479	5481							
auch	auch	ADV	5483	5486							
Erkundungen	Erkundungen	NOUN	5488	5498	Erkundungen	B-bn:05366384n	https://babelnet.org/synset?word=bn:05366384n&lang=DE&langTrans=EN	1			
und	und	CONJ	5500	5502							
Verbindungspatrouillen	Verbindungspatrouillen	NOUN	5504	5525							
.	.	PUNCT	5526	5526							
8	8	NUM	5528	5528							
feindliche	feindlich	ADJ	5530	5539	feindliche	B-bn:00104343a	https://babelnet.org/synset?word=bn:00104343a&lang=DE&langTrans=EN	1			
Apparate	Apparat	NOUN	5541	5548						1	
und	und	CONJ	5550	5552							
1	1	NUM	5554	5554							
Ballon	Ballon	NOUN	5556	5561	Ballon	B-bn:00008187n	https://babelnet.org/synset?word=bn:00008187n&lang=DE&langTrans=EN		1	1	
wurden	werden	AUX	5563	5568							
durch	durch	ADP	5570	5574							
unsere	mein	DET	5576	5581							
Flieger	Flieger	NOUN	5583	5589	Flieger	B-bn:00001688n	https://babelnet.org/synset?word=bn:00001688n&lang=DE&langTrans=EN		1	1	
zerstört	zerstören	VERB	5591	5598	zerstört	B-bn:00086699v	https://babelnet.org/synset?word=bn:00086699v&lang=DE&langTrans=EN	1			
.	.	PUNCT	5599	5599							
Während	während	ADP	5601	5607							
der	der	DET	5609	5611							
letzten	letzt	ADJ	5613	5619	letzten	B-bn:00105740a	https://babelnet.org/synset?word=bn:00105740a&lang=DE&langTrans=EN		1	1	
24	24	NUM	5621	5622							
Stunden	Stunde	NOUN	5624	5630	Stunden	B-bn:00000127n	https://babelnet.org/synset?word=bn:00000127n&lang=DE&langTrans=EN	1			
wurden	werden	AUX	5632	5637							
von	von	ADP	5639	5641							
uns	sich	PRON	5643	5645							
13	13	NUM	5647	5648							
Tonnen	Tonne	NOUN	5650	5655	Tonnen	B-bn:00054662n	https://babelnet.org/synset?word=bn:00054662n&lang=DE&langTrans=EN	1			
Bomben	Bombe	NOUN	5657	5662	Bomben	B-bn:00011917n	https://babelnet.org/synset?word=bn:00011917n&lang=DE&langTrans=EN	1			
abgeworfen	abwerfen	VERB	5664	5673	abgeworfen	B-bn:00094939v	https://babelnet.org/synset?word=bn:00094939v&lang=DE&langTrans=EN		1	1	
.	.	PUNCT	5674	5674							
Alle	all	DET	5676	5679							
unsere	mein	DET	5681	5686							
Nachtbombardierungsgeschwader	Nachtbombardierungsgeschwader	NOUN	5688	5716							
sind	sein	AUX	5718	5721							
unbeschädigt	unbeschädigt	ADJ	5723	5734							
zurückgekehrt	zurückkehren	VERB	5736	5748	zurückgekehrt	B-bn:00092969v	https://babelnet.org/synset?word=bn:00092969v&lang=DE&langTrans=EN	1			
.	.	PUNCT	5749	5749							
Handels-	Handels-	X	5751	5758	Handels-	B-bn:00077860n	https://babelnet.org/synset?word=bn:00077860n&lang=DE&langTrans=EN		1	1	
und	und	CONJ	5760	5762							
Kreuzerkrieg	Kreuzerkrieg	NOUN	5764	5775						1	
.	.	PUNCT	5776	5776							
Berlin	Berlin	PROPN	5778	5783	Berlin	B-bn:00010025n	https://babelnet.org/synset?word=bn:00010025n&lang=DE&langTrans=EN	1			
,	,	PUNCT	5784	5784							
9	9	ADJ	5786	5786							
.	.	ADJ	5787	5787							
Sept.	September	NOUN	5789	5793						1	
(	(	PUNCT	5795	5795							
Wolff	Wolff	PROPN	5796	5800							
.	.	PUNCT	5801	5801							
Amtlich	Amtlich	ADJ	5803	5809							
.	.	PUNCT	5810	5810							
)	)	PUNCT	5811	5811							
Im	Im	ADP	5813	5814							
englischen	englisch	ADJ	5816	5825	englischen	B-bn:00102248a	https://babelnet.org/synset?word=bn:00102248a&lang=DE&langTrans=EN	1			
Sperrgebiet	Sperrgebiet	NOUN	5827	5837	Sperrgebiet	B-bn:00057811n	https://babelnet.org/synset?word=bn:00057811n&lang=DE&langTrans=EN	1			
wurden	werden	AUX	5839	5844							
durch	durch	ADP	5846	5850							
unsere	mein	DET	5852	5857							
Unterseeboote	Unterseeboote	NOUN	5859	5871	Unterseeboote	B-bn:00062349n	https://babelnet.org/synset?word=bn:00062349n&lang=DE&langTrans=EN	1			
11	11	NUM	5873	5878							
Brt	Brt	NOUN	5880	5882	Brt	B-bn:01797370n	https://babelnet.org/synset?word=bn:01797370n&lang=DE&langTrans=EN	1			
.	.	PUNCT	5883	5883							
versenkt	versenken	VERB	5885	5892							
.	.	PUNCT	5893	5893							
Die	der	DET	5895	5897							
Bekämpfung	Bekämpfung	NOUN	5899	5908						1	
der	der	DET	5910	5912							
Anterseeboote	Anterseeboote	NOUN	5914	5926						1	1
.	.	PUNCT	5927	5927							
Wie	wie	ADV	5929	5931							
bereits	bereits	ADV	5933	5939	bereits	B-bn:00114245r	https://babelnet.org/synset?word=bn:00114245r&lang=DE&langTrans=EN	1			
in	in	ADP	5941	5942							
Nr.	Nummer	NOUN	5944	5946							
1180	1180	NUM	5948	5951							
der	der	DET	5953	5955							
„	„	PROPN	5957	5957							
N.	N.	PROPN	5958	5959						1	
Z.	Z.	PROPN	5961	5962	Z.	B-bn:05585223n	https://babelnet.org/synset?word=bn:05585223n&lang=DE&langTrans=EN		1	1	
Z.	Z.	X	5964	5965						1	
"	"	X	5966	5966							
gemeldet	melden	VERB	5968	5975							
wurde	werden	AUX	5977	5981							
,	,	PUNCT	5982	5982							
veröffentlicht	veröffentlichen	VERB	5984	5997	veröffentlicht	B-bn:00088545v	https://babelnet.org/synset?word=bn:00088545v&lang=DE&langTrans=EN	1			
die	der	DET	5999	6001							
britische	britische	ADJ	6003	6011	britische	B-bn:00098883a	https://babelnet.org/synset?word=bn:00098883a&lang=DE&langTrans=EN	1			
Admiralität	Admiralität	NOUN	6013	6023	Admiralität	B-bn:00001445n	https://babelnet.org/synset?word=bn:00001445n&lang=DE&langTrans=EN	1			
die	der	DET	6025	6027							
Namen	Name	NOUN	6029	6033	Namen	B-bn:00056758n	https://babelnet.org/synset?word=bn:00056758n&lang=DE&langTrans=EN	1			
der	der	DET	6035	6037							
Kommandanten	Kommandanten	NOUN	6039	6050	Kommandanten	B-bn:00020955n	https://babelnet.org/synset?word=bn:00020955n&lang=DE&langTrans=EN	1			
der	der	DET	6052	6054							
hundertfünfzig	hundertfünfzig	ADJ	6056	6069							
versenkten	versenken	ADJ	6071	6080							
deutschen	deutsch	ADJ	6082	6090	deutschen	B-bn:00103560a	https://babelnet.org/synset?word=bn:00103560a&lang=DE&langTrans=EN	1			
Unterseeboote	Unterseeboote	NOUN	6092	6104	Unterseeboote	B-bn:00062349n	https://babelnet.org/synset?word=bn:00062349n&lang=DE&langTrans=EN	1			
.	.	PUNCT	6105	6105							
Diese	Diese	DET	6107	6111							
Liste	listen	NOUN	6113	6117	Liste	B-bn:01056813n	https://babelnet.org/synset?word=bn:01056813n&lang=DE&langTrans=EN	1			
ist	sein	AUX	6119	6121							
uns	sich	PRON	6123	6125							
nun	nun	ADV	6127	6129							
durch	durch	ADP	6131	6135							
das	der	DET	6137	6139						1	
Reuterbureau	Reuterbureau	PROPN	6141	6152							
übermittelt	übermitteln	VERB	6154	6164	übermittelt	B-bn:00085769v	https://babelnet.org/synset?word=bn:00085769v&lang=DE&langTrans=EN	1			
worden	werden	AUX	6166	6171							
;	;	PUNCT	6172	6172							
wir	ich	PRON	6174	6176							
müssen	müssen	VERB	6178	6183	müssen	B-bn:13601282v	https://babelnet.org/synset?word=bn:13601282v&lang=DE&langTrans=EN	1			
es	ich	PRON	6185	6186							
uns	sich	PRON	6188	6190							
wegen	wegen	ADP	6192	6196							
Raummangels	Raummangels	NOUN	6198	6208							
versagen	versagen	VERB	6210	6217							
,	,	PUNCT	6218	6218							
sie	ich	PRON	6220	6222							
zu	zu	ADP	6224	6225							
reproduzieren	reproduzieren	VERB	6227	6239							
.	.	PUNCT	6240	6240							
Das	der	DET	6242	6244							
Wolffbureau	Wolffbureau	NOUN	6246	6256						1	
gibt	geben	VERB	6258	6261	gibt	B-bn:00082267v	https://babelnet.org/synset?word=bn:00082267v&lang=DE&langTrans=EN		1	1	
zu	zu	ADP	6263	6264	zu	I-bn:00082267v	https://babelnet.org/synset?word=bn:00082267v&lang=DE&langTrans=EN		1	1	
dieser	dies	DET	6266	6271							
Veröffentlichung	Veröffentlichung	NOUN	6273	6288	Veröffentlichung	B-bn:00065106n	https://babelnet.org/synset?word=bn:00065106n&lang=DE&langTrans=EN	1			
einen	ein	DET	6290	6294							
Kommentar	Kommentar	NOUN	6296	6304	Kommentar	B-bn:00020978n	https://babelnet.org/synset?word=bn:00020978n&lang=DE&langTrans=EN		1	1	
,	,	PUNCT	6305	6305							
dem	der	PRON	6307	6309							
wir	ich	PRON	6311	6313							
folgendes	folgend	ADJ	6315	6323	folgendes	B-bn:00111392a	https://babelnet.org/synset?word=bn:00111392a&lang=DE&langTrans=EN	1			
entnehmen	entnehmen	VERB	6325	6333	entnehmen	B-bn:00087243v	https://babelnet.org/synset?word=bn:00087243v&lang=DE&langTrans=EN		1	1	
:	:	PUNCT	6334	6334							
Berlin	Berlin	PROPN	6336	6341	Berlin	B-bn:00010025n	https://babelnet.org/synset?word=bn:00010025n&lang=DE&langTrans=EN	1			
,	,	PUNCT	6342	6342							
9	9	ADJ	6344	6344							
.	.	ADJ	6345	6345							
Sept.	September	NOUN	6347	6351						1	
(	(	PUNCT	6353	6353							
Wolff	Wolff	PROPN	6354	6358							
.	.	PUNCT	6359	6359							
)	)	PUNCT	6360	6360							
Sp	Sp	PROPN	6362	6363	Sp	B-bn:05409854n	https://babelnet.org/synset?word=bn:05409854n&lang=DE&langTrans=EN		1		
.	.	PUNCT	6364	6364							
Die	der	DET	6366	6368							
britische	britische	ADJ	6370	6378	britische	B-bn:00098883a	https://babelnet.org/synset?word=bn:00098883a&lang=DE&langTrans=EN	1			
Admiralität	Admiralität	NOUN	6380	6390	Admiralität	B-bn:00001445n	https://babelnet.org/synset?word=bn:00001445n&lang=DE&langTrans=EN	1			
gibt	geben	VERB	6392	6395	gibt	B-bn:00088815v	https://babelnet.org/synset?word=bn:00088815v&lang=DE&langTrans=EN		1	1	
bekannt	bekennen	PART	6397	6403	bekannt	B-bn:00105645a	https://babelnet.org/synset?word=bn:00105645a&lang=DE&langTrans=EN		1	1	
,	,	PUNCT	6404	6404							
daß	daß	SCONJ	6406	6408							
sie	ich	PRON	6410	6412							
zur	zur	ADP	6414	6416							
Führung	Führung	NOUN	6418	6424	Führung	B-bn:00050373n	https://babelnet.org/synset?word=bn:00050373n&lang=DE&langTrans=EN		1	1	
des	der	DET	6426	6428							
Wahrheitsbeweises	Wahrheitsbeweises	NOUN	6430	6446						1	
für	für	ADP	6448	6450							
die	der	DET	6452	6454							
Behauptung	Behauptung	NOUN	6456	6465	Behauptung	B-bn:05232909n	https://babelnet.org/synset?word=bn:05232909n&lang=DE&langTrans=EN	1			
des	der	DET	6467	6469							
englischen	englisch	ADJ	6471	6480	englischen	B-bn:00102248a	https://babelnet.org/synset?word=bn:00102248a&lang=DE&langTrans=EN	1			
Premierministers	Premierministers	NOUN	6482	6497	Premierministers	B-bn:00063133n	https://babelnet.org/synset?word=bn:00063133n&lang=DE&langTrans=EN	1			
,	,	PUNCT	6498	6498							
daß	daß	SCONJ	6500	6502							
150	150	NUM	6504	6506							
Unterfeeboote	Unterfeeboote	NOUN	6508	6520						1	1
von	von	ADP	6522	6524							
ihnen	ich	PRON	6526	6530							
vernichtet	vernichten	VERB	6532	6541	vernichtet	B-bn:00086699v	https://babelnet.org/synset?word=bn:00086699v&lang=DE&langTrans=EN	1			
worden	werden	AUX	6543	6548							
seien	sein	AUX	6550	6554							
,	,	PUNCT	6555	6555							
150	150	NUM	6557	6559							
Namen	Name	NOUN	6561	6565	Namen	B-bn:00056758n	https://babelnet.org/synset?word=bn:00056758n&lang=DE&langTrans=EN	1			
von	von	ADP	6567	6569							
gefallenen	gefallen	ADJ	6571	6580							
,	,	PUNCT	6581	6581							
internierten	internieren	ADJ	6583	6594							
und	und	CONJ	6596	6598							
gefangenen	gefangen	ADJ	6600	6609							
Kommandanten	Kommandanten	NOUN	6611	6622	Kommandanten	B-bn:00020955n	https://babelnet.org/synset?word=bn:00020955n&lang=DE&langTrans=EN	1			
deutscher	deutsch	ADJ	6624	6632	deutscher	B-bn:00103560a	https://babelnet.org/synset?word=bn:00103560a&lang=DE&langTrans=EN	1			
Unterseeboote	Unterseeboote	NOUN	6634	6646	Unterseeboote	B-bn:00062349n	https://babelnet.org/synset?word=bn:00062349n&lang=DE&langTrans=EN	1			
veroffentlicht	veroffentlicht	VERB	6648	6661							
.	.	PUNCT	6662	6662							
Zunächst	Zunächst	ADV	6664	6671							
sei	sein	AUX	6673	6675							
festgestellt	feststellen	VERB	6677	6688	festgestellt	B-bn:00082814v	https://babelnet.org/synset?word=bn:00082814v&lang=DE&langTrans=EN	1			
,	,	PUNCT	6689	6689							
daß	daß	SCONJ	6691	6693							
in	in	ADP	6695	6696							
der	der	DET	6698	6700							
Liste	listen	NOUN	6702	6706	Liste	B-bn:01056813n	https://babelnet.org/synset?word=bn:01056813n&lang=DE&langTrans=EN	1			
keine	kein	DET	6708	6712							
Offiziere	Offizier	NOUN	6714	6722	Offiziere	B-bn:00054972n	https://babelnet.org/synset?word=bn:00054972n&lang=DE&langTrans=EN	1			
genannt	nennen	VERB	6724	6730	genannt	B-bn:00084385v	https://babelnet.org/synset?word=bn:00084385v&lang=DE&langTrans=EN	1			
sind	sein	AUX	6732	6735							
,	,	PUNCT	6736	6736							
über	über	ADP	6738	6741							
deren	der	DET	6743	6747							
Schicksal	Schicksal	NOUN	6749	6757	Schicksal	B-bn:00026603n	https://babelnet.org/synset?word=bn:00026603n&lang=DE&langTrans=EN	1			
die	der	DET	6759	6761							
Angehörigen	Angehörige	NOUN	6763	6773	Angehörigen	B-bn:00057586n	https://babelnet.org/synset?word=bn:00057586n&lang=DE&langTrans=EN	1			
nicht	nicht	PART	6775	6779							
bereits	bereits	ADV	6781	6787	bereits	B-bn:00114245r	https://babelnet.org/synset?word=bn:00114245r&lang=DE&langTrans=EN	1			
Nachricht	Nachricht	NOUN	6789	6797	Nachricht	B-bn:00057546n	https://babelnet.org/synset?word=bn:00057546n&lang=DE&langTrans=EN		1	1	
erhalten	erhalten	VERB	6799	6806	erhalten	B-bn:00089246v	https://babelnet.org/synset?word=bn:00089246v&lang=DE&langTrans=EN	1			
haben	haben	AUX	6808	6812	haben	B-bn:00085002v	https://babelnet.org/synset?word=bn:00085002v&lang=DE&langTrans=EN		1		
.	.	PUNCT	6813	6813							
Die	der	DET	6815	6817							
Veröffentlichung	Veröffentlichung	NOUN	6819	6834	Veröffentlichung	B-bn:00065106n	https://babelnet.org/synset?word=bn:00065106n&lang=DE&langTrans=EN	1			
,	,	PUNCT	6835	6835							
die	der	PRON	6837	6839							
eine	einen	DET	6841	6844							
Reihe	reihen	NOUN	6846	6850	Reihe	B-bn:00068424n	https://babelnet.org/synset?word=bn:00068424n&lang=DE&langTrans=EN	1			
falscher	falsch	ADJ	6852	6859	falscher	B-bn:00104880a	https://babelnet.org/synset?word=bn:00104880a&lang=DE&langTrans=EN	1			
Angaben	angeben	NOUN	6861	6867	Angaben	B-bn:15756479n	https://babelnet.org/synset?word=bn:15756479n&lang=DE&langTrans=EN		1	1	
,	,	PUNCT	6868	6868							
besonders	besonders	ADV	6870	6878	besonders	B-bn:00115235r	https://babelnet.org/synset?word=bn:00115235r&lang=DE&langTrans=EN	1			
über	über	ADP	6880	6883							
die	der	DET	6885	6887							
Dienststellung	Dienststellung	NOUN	6889	6902	Dienststellung	B-bn:16732311n	https://babelnet.org/synset?word=bn:16732311n&lang=DE&langTrans=EN	1			
der	der	DET	6904	6906							
aufgeführten	aufgeführt	ADJ	6908	6919							
Offiziere	Offizier	NOUN	6921	6929	Offiziere	B-bn:00054972n	https://babelnet.org/synset?word=bn:00054972n&lang=DE&langTrans=EN	1			
enthält	enthalten	VERB	6931	6937	enthält	B-bn:00083225v	https://babelnet.org/synset?word=bn:00083225v&lang=DE&langTrans=EN	1			
,	,	PUNCT	6938	6938							
und	und	CONJ	6940	6942							
schon	schon	ADV	6944	6948	schon	B-bn:00114245r	https://babelnet.org/synset?word=bn:00114245r&lang=DE&langTrans=EN	1			
dadurch	dadurch	ADV	6950	6956							
Rückschlüsse	Rückschlüsse	NOUN	6958	6969	Rückschlüsse	B-bn:00045936n	https://babelnet.org/synset?word=bn:00045936n&lang=DE&langTrans=EN	1			
auf	auf	ADP	6971	6973							
die	der	DET	6975	6977							
Zahl	zahlen	NOUN	6979	6982	Zahl	B-bn:00058285n	https://babelnet.org/synset?word=bn:00058285n&lang=DE&langTrans=EN	1			
der	der	DET	6984	6986							
verlornen	verlornen	ADJ	6988	6996							
Boote	booten	NOUN	6998	7002	Boote	B-bn:00011674n	https://babelnet.org/synset?word=bn:00011674n&lang=DE&langTrans=EN	1			
ausschließt	ausschließen	VERB	7004	7014	ausschließt	B-bn:00085183v	https://babelnet.org/synset?word=bn:00085183v&lang=DE&langTrans=EN	1			
,	,	PUNCT	7015	7015							
ist	sein	AUX	7017	7019							
natürlich	natürlich	ADV	7021	7029	natürlich	B-bn:00099185a	https://babelnet.org/synset?word=bn:00099185a&lang=DE&langTrans=EN		1	1	
dazu	dazu	ADV	7031	7034							
bestimmt	bestimmen	VERB	7036	7043	bestimmt	B-bn:00086681v	https://babelnet.org/synset?word=bn:00086681v&lang=DE&langTrans=EN	1			
,	,	PUNCT	7044	7044							
bei	bei	ADP	7046	7048							
uns	sich	PRON	7050	7052							
einen	ein	DET	7054	7058							
niederschmetternden	niederschmetternd	ADJ	7060	7078							
Eindruck	Eindruck	NOUN	7080	7087	Eindruck	B-bn:00009717n	https://babelnet.org/synset?word=bn:00009717n&lang=DE&langTrans=EN	1			
zu	zu	ADP	7089	7090							
machen	machen	VERB	7092	7097							
,	,	PUNCT	7098	7098							
uns	sich	PRON	7100	7102							
zu	zu	PART	7104	7105							
verleiten	verleiten	VERB	7107	7115	verleiten	B-bn:00090574v	https://babelnet.org/synset?word=bn:00090574v&lang=DE&langTrans=EN	1			
,	,	PUNCT	7116	7116							
durch	durch	ADP	7118	7122							
amtliche	amtlich	ADJ	7124	7131	amtliche	B-bn:00107770a	https://babelnet.org/synset?word=bn:00107770a&lang=DE&langTrans=EN	1			
Berichtigung	Berichtigung	NOUN	7133	7144	Berichtigung	B-bn:00022869n	https://babelnet.org/synset?word=bn:00022869n&lang=DE&langTrans=EN	1			
wertvolles	wertvoll	ADJ	7146	7155	wertvolles	B-bn:00113489a	https://babelnet.org/synset?word=bn:00113489a&lang=DE&langTrans=EN	1			
militärisches	militärisch	ADJ	7157	7169						1	
Nachrichtenmaterial	Nachrichtenmaterial	NOUN	7171	7189						1	
zu	zu	PART	7191	7192							
geben	geben	VERB	7194	7198	geben	B-bn:00088815v	https://babelnet.org/synset?word=bn:00088815v&lang=DE&langTrans=EN	1			
.	.	PUNCT	7199	7199							
Das	der	DET	7201	7203							
deutsche	deutsch	ADJ	7205	7212	deutsche	B-bn:00103560a	https://babelnet.org/synset?word=bn:00103560a&lang=DE&langTrans=EN	1			
